model_name,train_time
all-mpnet-base-v2_5_18_5,58.452903270721436
all-mpnet-base-v2_5_18_6,55.098814487457275
all-mpnet-base-v2_5_18_7,52.48191261291504
all-mpnet-base-v2_5_18_8,50.8469774723053
all-mpnet-base-v2_5_18_9,47.73175573348999
all-mpnet-base-v2_5_18_10,45.61174035072327
all-mpnet-base-v2_5_18_11,43.50360918045044
all-mpnet-base-v2_5_18_12,43.20561742782593
all-mpnet-base-v2_5_18_13,42.06621432304382
all-mpnet-base-v2_5_18_14,41.90272927284241
all-mpnet-base-v2_5_18_15,40.60430979728699
all-mpnet-base-v2_5_18_16,40.35708546638489
all-mpnet-base-v2_5_18_17,40.29223322868347
all-mpnet-base-v2_5_18_18,39.432321310043335
all-mpnet-base-v2_5_18_19,39.25078630447388
all-mpnet-base-v2_5_18_20,38.73999643325806
all-mpnet-base-v2_5_18_21,38.99363613128662
all-mpnet-base-v2_5_18_22,39.555307149887085
all-mpnet-base-v2_5_18_23,38.51936745643616
all-mpnet-base-v2_5_18_24,38.580402135849
all-mpnet-base-v2_5_18_25,37.42789673805237
all-mpnet-base-v2_5_19_5,59.23832154273987
all-mpnet-base-v2_5_19_6,55.702723264694214
all-mpnet-base-v2_5_19_7,53.05221676826477
all-mpnet-base-v2_5_19_8,50.85328269004822
all-mpnet-base-v2_5_19_9,48.46074843406677
all-mpnet-base-v2_5_19_10,47.208444595336914
all-mpnet-base-v2_5_19_11,46.11641979217529
all-mpnet-base-v2_5_19_12,44.93075919151306
all-mpnet-base-v2_5_19_13,42.60529446601868
all-mpnet-base-v2_5_19_14,42.311121463775635
all-mpnet-base-v2_5_19_15,41.666619539260864
all-mpnet-base-v2_5_19_16,41.3834331035614
all-mpnet-base-v2_5_19_17,40.66318154335022
all-mpnet-base-v2_5_19_18,40.33135366439819
all-mpnet-base-v2_5_19_19,39.88567233085632
all-mpnet-base-v2_5_19_20,39.55160975456238
all-mpnet-base-v2_5_19_21,39.139238595962524
all-mpnet-base-v2_5_19_22,38.60080146789551
all-mpnet-base-v2_5_19_23,41.80695986747742
all-mpnet-base-v2_5_19_24,39.09218454360962
all-mpnet-base-v2_5_19_25,39.196720600128174
all-mpnet-base-v2_5_20_5,60.66041922569275
all-mpnet-base-v2_5_20_6,54.745046615600586
all-mpnet-base-v2_5_20_7,52.9203097820282
all-mpnet-base-v2_5_20_8,57.16843819618225
all-mpnet-base-v2_5_20_9,49.667689085006714
all-mpnet-base-v2_5_20_10,46.613287687301636
all-mpnet-base-v2_5_20_11,44.66896986961365
all-mpnet-base-v2_5_20_12,44.22370147705078
all-mpnet-base-v2_5_20_13,42.22105145454407
all-mpnet-base-v2_5_20_14,41.64556264877319
all-mpnet-base-v2_5_20_15,41.14912962913513
all-mpnet-base-v2_5_20_16,40.586740493774414
all-mpnet-base-v2_5_20_17,40.085944414138794
all-mpnet-base-v2_5_20_18,39.60585165023804
all-mpnet-base-v2_5_20_19,39.56774711608887
all-mpnet-base-v2_5_20_20,39.360119104385376
all-mpnet-base-v2_5_20_21,39.60411810874939
all-mpnet-base-v2_5_20_22,38.711264848709106
all-mpnet-base-v2_5_20_23,51.372055768966675
all-mpnet-base-v2_5_20_24,37.63989996910095
all-mpnet-base-v2_5_20_25,37.53202557563782
all-mpnet-base-v2_6_5_5,55.03447771072388
all-mpnet-base-v2_6_5_6,52.586506843566895
all-mpnet-base-v2_6_5_7,52.78492259979248
all-mpnet-base-v2_6_5_8,48.191110134124756
all-mpnet-base-v2_6_5_9,47.10723328590393
all-mpnet-base-v2_6_5_10,45.61005616188049
all-mpnet-base-v2_6_5_11,44.07248306274414
all-mpnet-base-v2_6_5_12,42.97389101982117
all-mpnet-base-v2_6_5_13,42.22805857658386
all-mpnet-base-v2_6_5_14,43.399832010269165
all-mpnet-base-v2_6_5_15,40.6645987033844
all-mpnet-base-v2_6_5_16,46.16940402984619
all-mpnet-base-v2_6_5_17,39.331459045410156
all-mpnet-base-v2_6_5_18,67.57090973854065
all-mpnet-base-v2_6_5_19,40.36145520210266
all-mpnet-base-v2_6_5_20,38.6280620098114
all-mpnet-base-v2_6_5_21,37.97753286361694
all-mpnet-base-v2_6_5_22,38.57347917556763
all-mpnet-base-v2_6_5_23,37.30780339241028
all-mpnet-base-v2_6_5_24,38.91649079322815
all-mpnet-base-v2_6_5_25,37.297669887542725
all-mpnet-base-v2_6_6_5,56.69738721847534
all-mpnet-base-v2_6_6_6,52.94841933250427
all-mpnet-base-v2_6_6_7,54.3390257358551
all-mpnet-base-v2_6_6_8,49.65672326087952
all-mpnet-base-v2_6_6_9,46.7235803604126
all-mpnet-base-v2_6_6_10,46.85894465446472
all-mpnet-base-v2_6_6_11,43.60842442512512
all-mpnet-base-v2_6_6_12,42.74278163909912
all-mpnet-base-v2_6_6_13,42.55730676651001
all-mpnet-base-v2_6_6_14,41.34811735153198
all-mpnet-base-v2_6_6_15,40.81645703315735
all-mpnet-base-v2_6_6_16,39.867478132247925
all-mpnet-base-v2_6_6_17,39.95799160003662
all-mpnet-base-v2_6_6_18,39.08762764930725
all-mpnet-base-v2_6_6_19,39.133277893066406
all-mpnet-base-v2_6_6_20,39.312055587768555
all-mpnet-base-v2_6_6_21,38.716028690338135
all-mpnet-base-v2_6_6_22,38.17838215827942
all-mpnet-base-v2_6_6_23,38.071770668029785
all-mpnet-base-v2_6_6_24,38.04685592651367
all-mpnet-base-v2_6_6_25,38.02368950843811
all-mpnet-base-v2_6_7_5,60.25665283203125
all-mpnet-base-v2_6_7_6,54.66875743865967
all-mpnet-base-v2_6_7_7,51.21538329124451
all-mpnet-base-v2_6_7_8,50.51303434371948
all-mpnet-base-v2_6_7_9,46.62372446060181
all-mpnet-base-v2_6_7_10,44.99436545372009
all-mpnet-base-v2_6_7_11,43.96532893180847
all-mpnet-base-v2_6_7_12,43.23910713195801
all-mpnet-base-v2_6_7_13,42.17443633079529
all-mpnet-base-v2_6_7_14,41.70176434516907
all-mpnet-base-v2_6_7_15,41.40699505805969
all-mpnet-base-v2_6_7_16,41.88601565361023
all-mpnet-base-v2_6_7_17,41.571401834487915
all-mpnet-base-v2_6_7_18,40.400248527526855
all-mpnet-base-v2_6_7_19,39.69917345046997
all-mpnet-base-v2_6_7_20,40.3914258480072
all-mpnet-base-v2_6_7_21,39.66577625274658
all-mpnet-base-v2_6_7_22,64.62199687957764
all-mpnet-base-v2_6_7_23,38.43403720855713
all-mpnet-base-v2_6_7_24,38.11284327507019
all-mpnet-base-v2_6_7_25,38.24277067184448
all-mpnet-base-v2_6_8_5,55.41542100906372
all-mpnet-base-v2_6_8_6,55.018959283828735
all-mpnet-base-v2_6_8_7,49.72962927818298
all-mpnet-base-v2_6_8_8,48.8678925037384
all-mpnet-base-v2_6_8_9,46.33467435836792
all-mpnet-base-v2_6_8_10,44.73536658287048
all-mpnet-base-v2_6_8_11,43.69310927391052
all-mpnet-base-v2_6_8_12,42.34976673126221
all-mpnet-base-v2_6_8_13,41.28930401802063
all-mpnet-base-v2_6_8_14,40.767573595047
all-mpnet-base-v2_6_8_15,40.56492280960083
all-mpnet-base-v2_6_8_16,40.16885304450989
all-mpnet-base-v2_6_8_17,39.02720332145691
all-mpnet-base-v2_6_8_18,40.1073260307312
all-mpnet-base-v2_6_8_19,38.383726835250854
all-mpnet-base-v2_6_8_20,40.64447903633118
all-mpnet-base-v2_6_8_21,38.32150983810425
all-mpnet-base-v2_6_8_22,36.577964782714844
all-mpnet-base-v2_6_8_23,36.39390230178833
all-mpnet-base-v2_6_8_24,37.70405292510986
all-mpnet-base-v2_6_8_25,37.38675260543823
all-mpnet-base-v2_6_9_5,56.40072965621948
all-mpnet-base-v2_6_9_6,53.08952498435974
all-mpnet-base-v2_6_9_7,55.272828817367554
all-mpnet-base-v2_6_9_8,52.04297208786011
all-mpnet-base-v2_6_9_9,47.04260492324829
all-mpnet-base-v2_6_9_10,45.6622428894043
all-mpnet-base-v2_6_9_11,43.85086441040039
all-mpnet-base-v2_6_9_12,43.346088886260986
all-mpnet-base-v2_6_9_13,45.043944120407104
all-mpnet-base-v2_6_9_14,40.89744305610657
all-mpnet-base-v2_6_9_15,40.54173803329468
all-mpnet-base-v2_6_9_16,40.271305084228516
all-mpnet-base-v2_6_9_17,39.974361181259155
all-mpnet-base-v2_6_9_18,39.9600932598114
all-mpnet-base-v2_6_9_19,38.696293592453
all-mpnet-base-v2_6_9_20,37.25111722946167
all-mpnet-base-v2_6_9_21,37.15715003013611
all-mpnet-base-v2_6_9_22,37.28355383872986
all-mpnet-base-v2_6_9_23,37.145670652389526
all-mpnet-base-v2_6_9_24,37.5673611164093
